Actor,Character(s),Count
Harry Shearer,Benjamin,36
Harry Shearer,Cesar,36
Harry Shearer,Dave Shutton,36
Harry Shearer,Dewey Largo,36
Harry Shearer,Dr. Hibbert,36
Harry Shearer,Dr. J. Loren Pryor,36
Harry Shearer,Dr. Marvin Monroe,36
Harry Shearer,Eddie,36
Harry Shearer,Ernst,36
Harry Shearer,George H. W. Bush,36
Harry Shearer,God,36
Harry Shearer,Herman,36
Harry Shearer,Jasper Beardley,36
Harry Shearer,Jebediah Springfield,36
Harry Shearer,Judge Snyder,36
Harry Shearer,Kang,36
Harry Shearer,Kent Brockman,36
Harry Shearer,Legs,36
Harry Shearer,Lenny Leonard,36
Harry Shearer,Marty,36
Harry Shearer,Mr. Bouvier,36
Harry Shearer,Mr. Burns,36
Harry Shearer,Ned Flanders,36
Harry Shearer,"Nedward Flanders, Sr",36
Harry Shearer,Otto Mann,36
Harry Shearer,Principal Dondelinger,36
Harry Shearer,Principal Skinner,36
Harry Shearer,Radioactive Man,36
Harry Shearer,Rainier Wolfcastle/McBain,36
Harry Shearer,Reverend Lovejoy,36
Harry Shearer,Richard Nixon,36
Harry Shearer,Ronald Reagan,36
Harry Shearer,Sanjay Nahasapeemapetilon,36
Harry Shearer,Scratchy,36
Harry Shearer,Tom Brokaw,36
Harry Shearer,Waylon Smithers,36
Dan Castellaneta,Arnie Pye,32
Dan Castellaneta,Barney Gumble,32
Dan Castellaneta,Bill,32
Dan Castellaneta,Blue Haired Lawyer,32
Dan Castellaneta,Captain Lance Murdock,32
Dan Castellaneta,Charlie,32
Dan Castellaneta,Coach Lugash,32
Dan Castellaneta,Frankie the Squealer,32
Dan Castellaneta,Gary,32
Dan Castellaneta,Gil Gunderson,32
Dan Castellaneta,Grampa Simpson,32
Dan Castellaneta,Groundskeeper Willie,32
Dan Castellaneta,Hans Moleman,32
Dan Castellaneta,Homer Simpson,32
Dan Castellaneta,Itchy,32
Dan Castellaneta,Jack Marley,32
Dan Castellaneta,Jake the Barber,32
Dan Castellaneta,Kodos,32
Dan Castellaneta,Krusty the Clown,32
Dan Castellaneta,Leopold,32
Dan Castellaneta,Louie,32
Dan Castellaneta,Mayor Quimby,32
Dan Castellaneta,Mr. Prince,32
Dan Castellaneta,Mr. Teeny,32
Dan Castellaneta,Poochie,32
Dan Castellaneta,Rabbi Krustofski,32
Dan Castellaneta,Rich Texan,32
Dan Castellaneta,Santa's Little Helper,32
Dan Castellaneta,Scott Christian,32
